127.0.0.1 - - [13/Jun/2017:11:28:49 +0900] "GET / HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [13/Jun/2017:11:28:50 +0900] "GET /webdev/test.html HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [13/Jun/2017:11:30:53 +0900] "GET /webdev/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2017:11:30:59 +0900] "GET /webdev/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2017:11:31:08 +0900] "GET /webdev/test.html HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [13/Jun/2017:11:31:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:00:42 +0900] "GET /css/ex_css_1.html HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:00:42 +0900] "GET /favicon.ico HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [13/Jun/2017:13:00:48 +0900] "GET /css/ex_css_1.html HTTP/1.1" 404 1095
